x_val,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,slog_throughput,slog_p50,slog_p95,slog_p99,Detock_throughput,Detock_p50,Detock_p95,Detock_p99,janus_throughput,janus_p50,janus_p95,janus_p99
100,12252,8,18,147,13122,8,24,149,12791,8,35,146,1486,132,136,140
250,15355,17,143,149,13914,15,112,195,13793,17,147,316,3687,133,138,197
500,13187,37,146,1154,16225,28,164,334,13919,36,248,517,7208,135,140,157
750,14209,53,120,1901,15119,44,153,751,14596,64,379,849,10476,137,146,253
1000,14546,75,317,1619,13750,67,182,1277,16078,101,387,566,13014,148,184,243
1250,13296,72,390,2788,15488,84,240,1103,11889,96,420,1125,12690,170,286,378
1500,13714,130,382,2460,18216,105,481,1095,18215,111,623,987,12947,217,366,416
2000,11637,143,936,7330,14311,116,320,4368,18463,135,663,1211,13130,273,538,634
2500,16074,155,1082,1583,15346,169,542,3921,13918,168,675,5180,12531,311,861,1004
5000,13443,173,2599,6075,21288,184,1969,3807,18272,289,1967,3638,-1,-1,-1,-1
