x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
0.0,63.415,151.163,305.268,,,,,,,,,,,,,138.213,351.515,518.032,,,,,,,,,,,,,10.115,145.421,205.897,,,,,,,,,,,,,64.978,117.055,244.155,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,137.994,267.823,393.827,,,,,,,,,,,,,10.127,144.438,1635.503,,,,,,,,,,,,,40.925,205.744,734.561,172.6,333.207,983.075,175.182,328.12,997.358,,,,,,
20.0,39.334,105.281,532.663,152.242,199.793,738.899,154.401,201.11,658.141,,,,,,,139.349,282.198,386.067,,,,,,,,,,,,,10.172,1100.401,1387.862,,,,,,,,,,,,,20.594,288.726,2287.735,155.013,509.553,2406.059,157.49,513.173,2490.612,,,,,,
30.0,49.643,114.098,173.437,150.726,212.164,277.206,152.543,213.137,278.901,,,,,,,145.709,306.596,401.494,,,,,,,,,,,,,9.804,144.269,3282.049,,,,,,,,,,,,,13.441,406.446,1138.569,149.219,490.638,1218.726,150.828,495.432,1225.821,,,,,,
40.0,50.826,80.756,87.947,148.648,153.712,171.899,150.127,155.468,166.496,,,,,,,164.914,327.127,432.683,,,,,,,,,,,,,9.987,151.639,288.733,,,,,,,,,,,,,13.237,207.751,389.386,149.44,339.594,626.432,150.601,337.423,621.986,,,,,,
50.0,52.445,80.067,87.335,147.41,152.379,170.758,148.695,154.065,172.279,,,,,,,183.363,346.279,470.886,,,,,,,,,,,,,9.942,155.063,259.794,,,,,,,,,,,,,11.37,143.714,163.391,149.891,161.707,210.869,150.985,162.816,211.68,,,,,,
60.0,55.555,96.923,140.728,146.815,201.578,232.501,148.054,202.991,236.683,,,,,,,191.166,343.651,460.467,,,,,,,,,,,,,10.329,145.187,460.766,,,,,,,,,,,,,12.512,139.959,146.691,148.955,156.376,213.585,150.131,158.526,212.171,,,,,,
70.0,55.094,105.299,264.932,146.55,208.77,392.925,147.726,209.93,393.987,,,,,,,199.39,351.924,472.266,,,,,,,,,,,,,9.996,143.896,150.338,,,,,,,,,,,,,12.924,140.343,147.512,148.813,156.923,200.889,149.924,158.879,206.741,,,,,,
80.0,54.605,133.739,483.862,146.121,249.344,786.611,147.234,251.395,687.985,,,,,,,219.886,469.982,732.634,,,,,,,,,,,,,10.011,148.72,486.749,,,,,,,,,,,,,14.69,141.436,148.142,149.343,157.032,173.407,150.483,158.947,175.967,,,,,,
90.0,56.453,140.045,1014.738,146.612,247.808,1115.339,147.786,248.233,1117.167,,,,,,,222.473,492.868,824.783,,,,,,,,,,,,,10.044,145.702,181.482,,,,,,,,,,,,,17.527,142.631,149.968,150.088,158.319,219.48,151.234,160.106,213.417,,,,,,
100.0,,,,147.627,217.032,358.547,148.762,217.718,299.111,,,,,,,213.094,380.322,552.7,,,,,,,,,,,,,10.02,145.487,281.947,,,,,,,,,,,,,,,,151.549,159.725,182.401,152.697,161.521,183.27,,,,,,
