x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
0.0,62.334,91.782,4.238,0.568,0.0,70.619,85.956,3.405,0.568,0.0,62.773,90.81,3.293,0.568,0.0,66.532,91.567,3.99,0.57,0.0
0.1,67.206,91.893,4.578,0.568,0.0,68.665,86.026,3.403,0.568,0.0,59.308,90.835,3.021,0.568,0.0,68.765,91.572,4.196,0.57,0.0
0.2,69.373,91.958,4.41,0.568,0.0,69.914,86.092,3.406,0.568,0.0,64.05,90.931,2.956,0.568,0.0,70.257,91.663,6.389,0.57,0.0
0.5,68.496,91.974,4.528,0.568,0.0,60.531,86.213,2.776,0.568,0.0,62.175,90.991,2.612,0.568,0.0,69.574,91.725,9.389,0.57,0.0
1.0,65.105,91.975,3.606,0.568,0.0,58.365,86.487,1.98,0.568,0.0,58.029,91.003,1.755,0.568,0.0,67.832,91.765,3.451,0.57,0.0
1.5,62.516,91.999,2.643,0.568,0.0,53.34,86.559,1.576,0.568,0.0,48.491,91.013,1.182,0.568,0.0,69.299,91.794,2.502,0.57,0.0
2.0,60.268,92.008,1.912,0.568,0.0,47.119,86.582,1.112,0.568,0.0,44.763,91.02,0.777,0.568,0.0,62.708,91.801,1.788,0.57,0.0
2.5,54.719,92.018,1.404,0.568,0.0,48.524,86.603,0.939,0.568,0.0,38.204,91.023,0.629,0.568,0.0,55.086,91.812,2.74,0.57,0.0
3.0,51.983,92.018,1.128,0.568,0.0,45.518,86.618,0.767,0.568,0.0,34.551,91.024,0.488,0.568,0.0,55.443,91.817,1.156,0.57,0.0
4.0,48.417,92.019,0.738,0.568,0.0,36.794,86.627,0.431,0.568,0.0,29.816,91.03,0.308,0.568,0.0,47.815,91.818,0.752,0.57,0.0
5.0,40.985,92.021,0.529,0.568,0.0,38.024,86.634,0.385,0.568,0.0,27.041,91.032,0.228,0.568,0.0,39.414,91.818,0.545,0.57,0.0
7.5,29.617,92.022,0.227,0.568,0.0,32.452,86.642,0.196,0.568,0.0,19.05,91.033,0.097,0.568,0.0,29.742,91.822,0.278,0.57,0.0
10.0,20.939,92.024,0.103,0.568,0.0,22.558,86.642,0.087,0.568,0.0,14.801,91.033,0.058,0.568,0.0,21.651,91.821,0.177,0.57,0.0
