x_var,detock_throughput,detock_p50,detock_p95,detock_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_aborts,detock_bytes,detock_cost,janus_throughput,janus_p50,janus_p95,janus_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_aborts,janus_bytes,janus_cost,calvin_throughput,calvin_p50,calvin_p95,calvin_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p95,slog_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_aborts,slog_bytes,slog_cost
0.0,41146.377,15.935,39.325,921.294,15.789,37.948,801.262,29.445,1019.993,1162.96,33.11,1048.171,1176.69,0.0,110970513.267,0.079,37293.996,209.339,261.901,269.12,209.339,261.901,269.12,,,,,,,0.0,415786737.617,0.25,31363.437,87.693,379.69,1905.605,87.693,379.69,1905.605,,,,,,,0.0,74316303.1,0.08,52647.551,19.295,39.452,609.968,19.139,37.152,599.987,27.49,630.694,893.311,31.059,704.812,977.117,0.0,122198100.283,0.066
0.1,45405.924,15.784,32.019,842.937,15.688,30.369,250.603,30.365,1286.645,2281.715,33.097,1898.044,2355.91,0.0,108314382.5,0.07,35395.461,214.979,280.248,288.251,214.979,280.248,288.251,,,,,,,0.0,102390897.117,0.087,30529.387,105.99,535.49,965.215,105.99,535.49,965.215,,,,,,,0.0,73723195.867,0.082,55909.428,26.416,39.563,158.882,26.246,38.926,99.446,34.687,252.554,475.556,37.222,395.539,480.372,0.0,120732913.367,0.061
0.2,45450.594,15.869,40.475,691.204,15.702,36.823,637.873,31.592,733.85,867.104,36.104,762.676,893.33,0.0,116711498.067,0.074,34633.154,233.385,288.672,378.394,233.385,288.672,378.394,,,,,,,0.0,98660817.883,0.086,46760.664,130.345,228.39,387.432,130.345,228.39,387.432,,,,,,,0.0,98385839.717,0.064,50101.695,21.516,70.123,261.565,21.331,66.814,231.434,29.898,326.31,1794.191,34.309,389.782,2461.621,0.0,114735763.517,0.066
0.5,40273.981,21.818,131.38,225.762,21.539,124.356,224.382,38.436,212.024,277.808,45.067,228.109,298.564,0.0,101475709.017,0.076,37255.956,182.365,334.305,480.668,182.365,334.305,480.668,,,,,,,0.0,98552040.383,0.08,38523.969,136.878,364.783,825.73,136.878,364.783,825.73,,,,,,,0.0,84027978.617,0.07,45408.56,26.081,134.431,229.431,25.867,128.124,228.566,35.254,203.138,246.468,38.684,216.598,267.115,0.0,102122894.717,0.067
1.0,25201.899,19.442,219.589,365.004,19.149,218.879,357.802,41.554,259.476,498.863,59.069,305.255,592.102,0.0,255585978.95,0.243,31003.191,173.014,432.698,831.114,173.014,432.698,831.114,,,,,,,0.0,87371240.083,0.089,36698.484,99.704,515.118,874.715,99.704,515.118,874.715,,,,,,,0.0,84598883.167,0.074,27410.162,25.001,226.028,368.794,24.711,225.311,365.031,38.041,240.486,400.003,57.368,284.449,544.159,0.0,69300669.4,0.088
1.5,14894.778,28.047,271.469,615.795,27.455,268.984,612.566,64.548,349.044,665.456,115.9,422.253,722.585,0.0,41823863.933,0.124,27832.719,204.452,535.559,743.172,204.452,535.559,743.172,,,,,,,0.0,207216098.283,0.185,31328.763,162.693,483.682,742.625,162.693,483.682,742.625,,,,,,,0.0,158674549.85,0.134,17192.607,37.412,283.041,599.127,36.684,280.716,595.044,65.718,335.717,649.275,117.76,432.743,692.807,0.0,44995790.817,0.111
2.0,10382.268,45.325,402.515,693.015,43.879,399.595,682.012,140.861,529.644,1042.883,211.893,623.908,1693.726,0.0,80286259.767,0.252,21540.949,239.98,691.981,966.073,239.98,691.981,966.073,,,,,,,0.0,62676946.717,0.105,27467.839,185.139,629.107,962.156,185.139,629.107,962.156,,,,,,,0.0,135286195.833,0.135,11908.838,55.33,421.948,677.563,54.514,420.841,674.995,137.66,456.571,674.578,207.547,582.469,920.769,0.0,31380213.4,0.138
2.5,7842.659,85.543,486.065,778.414,82.598,482.931,774.669,206.327,621.442,882.213,242.01,701.655,946.431,0.0,23149615.967,0.188,16850.127,291.909,846.035,1231.222,291.909,846.035,1231.222,,,,,,,0.0,49731398.867,0.119,24463.785,211.788,653.39,1014.834,211.788,653.39,1014.834,,,,,,,0.0,100910373.567,0.124,9274.838,96.804,532.548,782.269,94.432,528.52,780.179,208.792,641.879,1977.881,239.369,705.378,1579.005,0.0,25252919.95,0.164
3.0,6337.108,120.296,625.444,1189.139,117.435,622.912,1185.556,225.645,662.331,1375.024,273.494,887.181,1480.98,0.0,17692680.383,0.216,13705.711,337.347,1120.891,1665.218,337.347,1120.891,1665.218,,,,,,,0.0,40158049.35,0.133,20183.02,235.48,742.466,1301.496,235.48,742.466,1301.496,,,,,,,0.0,62028262.25,0.112,7485.241,154.691,626.419,962.628,151.653,624.043,955.227,227.16,726.368,1095.564,284.061,864.448,1206.02,0.0,20051937.15,0.189
4.0,4193.129,210.148,847.893,1528.82,209.531,845.381,1522.906,314.737,1307.211,1870.08,445.023,1348.92,1962.18,0.0,12534953.183,0.302,10482.347,443.452,1406.416,1935.81,443.452,1406.416,1935.81,,,,,,,0.0,30450053.367,0.155,15001.12,288.976,929.164,1419.273,288.976,929.164,1419.273,,,,,,,0.0,34096601.667,0.113,4579.993,218.084,930.051,1675.914,217.531,923.777,1672.803,318.566,1192.228,1610.926,458.858,1367.591,1906.126,0.0,12741847.567,0.277
