x_var,detock_cpu_usage_percent,detock_mem_usage_percent,detock_net_usage_percent,detock_disk_usage_percent,detock_aborts,janus_cpu_usage_percent,janus_mem_usage_percent,janus_net_usage_percent,janus_disk_usage_percent,janus_aborts,calvin_cpu_usage_percent,calvin_mem_usage_percent,calvin_net_usage_percent,calvin_disk_usage_percent,calvin_aborts,slog_cpu_usage_percent,slog_mem_usage_percent,slog_net_usage_percent,slog_disk_usage_percent,slog_aborts
0.0,68.656,38.691,1.958,0.572,0.0,63.331,35.458,7.231,0.57,0.0,49.981,37.689,1.344,0.572,0.0,67.005,38.092,1.948,0.572,0.0
0.1,59.902,38.778,1.688,0.572,0.0,70.124,35.537,1.8,0.57,0.0,64.191,37.817,1.395,0.572,0.0,61.907,38.177,1.894,0.572,0.0
0.2,67.237,38.845,1.98,0.572,0.0,63.047,35.621,1.722,0.57,0.0,58.747,37.892,1.518,0.572,0.0,64.67,38.239,1.806,0.572,0.0
0.5,66.198,38.835,1.668,0.572,0.0,62.754,35.747,1.733,0.57,0.0,57.432,37.952,1.425,0.572,0.0,62.946,38.297,1.656,0.572,0.0
1.0,60.989,38.878,4.534,0.572,0.0,57.7,35.84,1.542,0.57,0.0,64.049,38.001,1.521,0.572,0.0,61.975,38.486,1.223,0.572,0.0
1.5,58.05,38.898,0.769,0.572,0.0,58.439,35.905,3.698,0.57,0.0,54.258,38.077,2.811,0.572,0.0,61.082,38.516,0.821,0.572,0.0
2.0,57.231,38.78,1.52,0.572,0.0,55.523,35.95,1.144,0.57,0.0,52.432,38.122,2.397,0.572,0.0,54.039,38.408,0.593,0.572,0.0
2.5,49.747,38.795,0.441,0.572,0.0,55.913,35.987,0.922,0.57,0.0,47.721,38.162,1.737,0.572,0.0,50.966,38.425,0.479,0.572,0.0
3.0,43.203,38.806,0.342,0.572,0.0,50.222,36.018,0.744,0.57,0.0,46.149,38.183,1.102,0.572,0.0,46.379,38.438,0.388,0.572,0.0
4.0,42.001,38.814,0.246,0.572,0.0,47.398,36.043,0.573,0.57,0.0,41.973,38.206,0.632,0.572,0.0,38.205,38.448,0.247,0.572,0.0
5.0,37.736,38.818,0.177,0.572,0.0,42.024,36.06,0.402,0.57,0.0,35.049,38.223,0.543,0.572,0.0,35.652,38.453,0.181,0.572,0.0
7.5,24.597,38.824,0.075,0.572,0.0,29.836,36.071,0.182,0.57,0.0,23.961,38.233,0.357,0.572,0.0,28.35,38.458,0.099,0.572,0.0
10.0,22.768,38.825,0.052,0.572,0.0,24.125,36.078,0.1,0.57,0.0,15.582,38.24,0.118,0.572,0.0,18.883,38.46,0.044,0.572,0.0
