x_var,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99
1.0,12.18,18.396,19.592,283.045,287.274,288.412,283.584,288.752,677.432,,,,,,,265.692,400.406,1057.97,,,,,,,,,,,,,12.112,19.681,278.511,,,,,,,,,,,,,12.226,18.455,19.898,287.519,293.899,753.529,287.04,295.692,935.527,,,,,,
10.0,5.967,140.089,144.722,140.864,146.457,148.16,141.499,147.916,150.745,,,,,,,136.71,203.55,237.782,,,,,,,,,,,,,5.934,12.33,171.056,,,,,,,,,,,,,6.024,141.227,147.501,144.777,151.588,155.753,145.266,152.854,156.71,,,,,,
100.0,5.941,137.726,141.742,139.236,144.443,147.358,139.558,144.674,148.514,,,,,,,133.892,140.439,145.68,,,,,,,,,,,,,6.304,13.635,140.094,,,,,,,,,,,,,6.005,138.169,144.68,142.492,147.697,150.402,142.923,148.305,151.11,,,,,,
500.0,6.728,140.026,143.662,141.402,145.285,151.125,142.2,146.193,152.755,,,,,,,134.457,137.222,140.515,,,,,,,,,,,,,9.542,136.936,143.928,,,,,,,,,,,,,6.949,140.368,145.213,143.883,148.743,153.515,144.819,149.423,152.103,,,,,,
750.0,9.42,143.702,148.235,144.926,150.91,188.107,146.261,152.238,186.752,,,,,,,134.718,137.361,145.488,,,,,,,,,,,,,12.864,140.013,147.219,,,,,,,,,,,,,9.888,143.889,149.449,147.029,152.589,156.509,148.491,154.209,158.815,,,,,,
1000.0,12.137,147.74,192.284,148.889,246.932,377.078,151.228,272.062,388.904,,,,,,,135.309,146.042,234.302,,,,,,,,,,,,,17.897,142.593,148.797,,,,,,,,,,,,,13.255,150.844,207.386,153.214,220.281,235.188,155.763,223.955,239.645,,,,,,
1250.0,17.677,153.626,257.825,154.472,320.925,890.996,157.905,330.856,904.342,,,,,,,135.606,144.543,224.349,,,,,,,,,,,,,25.267,142.282,152.552,,,,,,,,,,,,,17.802,154.299,311.603,156.342,412.199,463.174,159.068,425.72,467.09,,,,,,
1500.0,17.969,150.978,490.725,150.111,515.921,656.804,152.567,543.417,668.565,,,,,,,135.856,144.118,209.099,,,,,,,,,,,,,31.304,143.057,148.088,,,,,,,,,,,,,20.717,158.613,471.386,160.681,895.789,1277.402,163.495,1028.138,1300.305,,,,,,
2000.0,26.99,163.476,972.061,163.312,1175.582,2205.759,167.346,1259.571,2408.622,,,,,,,136.764,148.834,234.932,,,,,,,,,,,,,38.349,146.756,169.606,,,,,,,,,,,,,23.641,151.779,983.635,157.608,3916.562,10839.718,161.087,4297.848,10808.185,,,,,,
2500.0,43.957,183.318,832.098,183.108,1062.499,1140.98,190.304,1081.864,1147.141,,,,,,,137.985,239.878,515.207,,,,,,,,,,,,,54.223,144.031,149.09,,,,,,,,,,,,,30.549,157.805,1590.868,164.523,4198.419,11194.438,168.384,5633.393,11533.771,,,,,,
5000.0,70.975,434.367,2462.778,246.942,2710.919,3255.687,586.126,3189.375,3281.394,,,,,,,145.104,479.867,979.817,,,,,,,,,,,,,115.943,156.402,204.149,,,,,,,,,,,,,82.128,386.647,2342.165,246.665,2458.863,2655.912,251.982,2551.402,2661.442,,,,,,
10000.0,159.235,298.246,16330.032,293.706,10856.096,66144.329,297.139,18261.251,64885.89,,,,,,,262.78,905.76,1630.92,,,,,,,,,,,,,223.233,418.317,592.694,,,,,,,,,,,,,225.604,357.689,657.177,347.261,881.068,1047.267,354.017,924.68,1069.919,,,,,,
